event_hour,event_type,event_count,avg_price,unique_users
0,cart,47020,321.9434891535514,26194
0,purchase,37872,306.3722451943384,28359
1,cart,55950,327.0312763181413,30671
1,purchase,44326,312.5543561340972,33153
2,cart,61465,329.63629756772156,33777
2,purchase,48065,316.96922937688527,35813
3,cart,63350,328.30210639305466,34515
3,purchase,49500,318.68473030303034,36913
4,cart,65671,332.6047763853149,35551
4,purchase,51056,322.2660674553431,37906
5,cart,66024,344.42474812189516,35443
5,purchase,51234,330.7290422375766,37489
6,cart,62530,340.3928221653609,34175
6,purchase,48050,328.51024328824144,35699
7,cart,58594,345.90183977881725,32000
7,purchase,43858,332.40376829768786,32963
8,cart,53989,348.08427809368584,29512
8,purchase,38854,329.4758907705768,29508
9,cart,51183,337.8640878807418,28537
9,purchase,36158,328.9088176890314,27874
10,cart,49662,332.7407102009586,27427
10,purchase,34342,320.6460383786616,26530
11,cart,49497,328.3847962502778,27434
11,purchase,34331,308.2169412484344,26392
12,cart,45847,335.15509128187233,25897
12,purchase,32536,312.4551788787805,24696
13,cart,38648,343.6374291037053,22010
13,purchase,28094,320.2861778315654,21043
14,cart,30276,371.79050469018364,17284
14,purchase,22173,346.4113327019347,15836
15,cart,19812,380.1720114072281,11584
15,purchase,15338,362.1792450123875,10754
16,cart,11286,399.8140182527025,6700
16,purchase,9117,371.5762783810465,6334
17,cart,6828,411.07022993555944,4126
17,purchase,5777,396.07541976804566,3934
18,cart,4333,412.9133117932148,2585
18,purchase,3592,382.97753062360823,2496
19,cart,3151,388.38955887019995,1902
19,purchase,2570,376.06477821011674,1815
20,cart,3851,346.80197611010135,2386
20,purchase,2685,350.28032402234635,2014
21,cart,7514,324.60579451690177,4614
21,purchase,5044,300.06779738302936,3993
22,cart,17306,314.8019715705537,10499
22,purchase,12790,289.1925308835027,10024
23,cart,33923,316.3665916929519,19399
23,purchase,27273,305.42445238880936,20437
